id,sin,cobertura,fec_ocu,causa,ent_mun,tipo_perd,monto_ded,monto_ocu
73315,616252,1,20220702,12,24028,1,4535,12580
146155,685835,1,20230719,1,24028,1,0,3600
44901,659818,1,20230101,6,24028,1,0,31080.43
209588,730071,1,20240421,6,24028,1,0,0
84678,678951,1,20230101,6,24028,1,0,0.01
37178,641472,1,20221121,6,24028,1,0,18080.95
120008,651461,1,20230101,6,24028,1,0,0.01
83568,635031,1,20221013,6,24028,1,8580,29125
101164,661916,1,20230307,6,24028,1,0,-0.01
189677,678109,1,20230603,6,24028,1,0,31459.56
282013,772591,1,20241209,6,24028,1,0,28000
256544,763300,1,20241020,6,24028,1,0,22000
219764,728274,1,20240411,6,24028,1,0,56380.1
150618,697401,1,20230907,6,24028,1,0,0
254032,739552,1,20240610,6,24028,1,0,0.01
229334,759787,1,20241001,6,24028,1,3495,14955.93
280950,749244,1,20240803,6,24028,1,14745,25924.93
161029,682454,1,20230627,6,24028,1,0,9204
311769,767165,1,20241111,6,24028,1,0,2380.49
285977,733051,1,20240509,6,24028,1,0,0.01
231654,734986,1,20240521,6,24028,1,0,14752.16
189367,694931,1,20230908,6,24028,1,0,38698.03
67280,668972,1,20230415,6,24028,1,0,-0.01
34545,602273,1,20220423,6,24028,1,9215,61981.97
90699,675392,1,20230520,6,24028,1,0,-19881.68
180701,673976,1,20230514,6,24028,1,0,17449.05
284328,750844,1,20240809,6,24028,1,0,0.01
72819,668614,1,20230101,6,24028,1,0,7723
151824,684408,1,20230710,6,24028,1,0,0
176446,707829,1,20231205,6,24028,1,0,9755.76
160808,697788,1,20231003,6,24028,1,0,23774.6
172705,698517,1,20231006,6,24028,1,15290,102715.36
34522,625988,1,20220830,6,24028,1,0,7107.05
141182,686180,1,20230721,6,24028,1,11755,18159.8
287840,769473,1,20241117,6,24028,1,0,7000
27433,606430,1,20220517,6,24028,1,8399.7,27626.5
269233,764460,1,20241025,6,24028,1,0,5500
47660,621798,1,20220809,6,24028,1,5120,12377.8
71099,622346,1,20220812,6,24028,1,0,0
